"","V1"
"Telmatochromis_vittatus",2.15176220325946
"Variabilichromis_moorii",2.33214389523559
"Julidochromis_ornatus",2.14006616349627
"Neolamprologus_brevis",1.70474809223843
"Neolamprologus_fasciatus",2.70805020110221
"Neolamprologus_similis",1.6094379124341
"Neolamprologus_multifasciatus",1.38629436111989
"Neolamprologus_caudopunctatus",1.87180217690159
"Lamprologus_lemairii",3.2188758248682
"Neolamprologus_leloupi",1.80828877117927
"Neolamprologus_wauthioni",1.70474809223843
"Lamprologus_speciosus",1.6094379124341
"Lamprologus_ocellatus",1.75785791755237
"Lamprologus_meleagris",1.94591014905531
"Altolamprologus_calvus",2.60268968544438
"Altolamprologus_compressiceps",2.50959926237837
"Lamprologus_callipterus",2.51769647261099
"Neolamprologus_boulengeri",1.82454929205105
"Neolamprologus_hecqui",2.07944154167984
"Neolamprologus_meeli",1.94591014905531
"Lepidiolamprologus_attenuatus",2.70805020110221
"Lepidiolamprologus_profundicola",3.41772668361337
"Lepidiolamprologus_elongatus",3.48124008933569
"Lamprologus_kungweensis",2.07944154167984
"Lamprologus_laparogramma",1.38879124131848
"Lamprologus_signatus",1.70474809223843
"Lamprologus_ornatipinnis",2.05412373369555
