"","x"
"Julidochromis_ornatus",8.5
"Telmatochromis_vittatus",8.6
"Variabilichromis_moorii",10.3
"Lamprologus_ornatipinnis",7.8
"Lamprologus_signatus",5.5
"Lamprologus_laparogramma",4
"Lamprologus_kungweensis",8
"Neolamprologus_brevis",5.5
"Neolamprologus_similis",4.3
"Neolamprologus_multifasciatus",4
"Neolamprologus_fasciatus",15
"Neolamprologus_leloupi",6.1
"Neolamprologus_caudopunctatus",6.5
"Lamprologus_lemairii",25
"Lepidiolamprologus_elongatus",32.5
"Lepidiolamprologus_profundicola",30.5
"Neolamprologus_boulengeri",6.2
"Neolamprologus_meeli",7
"Neolamprologus_hecqui",8
"Lepidiolamprologus_attenuatus",15
"Neolamprologus_wauthioni",5.5
"Lamprologus_speciosus",5
"Lamprologus_ocellatus",5.8
"Lamprologus_meleagris",7
"Lamprologus_callipterus",12.4
"Altolamprologus_compressiceps",12.3
"Altolamprologus_calvus",13.5
