,donor,recipient,m,time.from.root.donor,time.from.root.recipient
1,Lamprologus_callipterus,Lamprologus_meleagris,0.5,4.42250153,4.65562612
2,Lamprologus_meleagris,Lamprologus_meleagris,0.5,4.42250153,4.65562612
3,Lamprologus_ocellatus,Lamprologus_meleagris,0.5,4.42250153,4.65562612
4,Neolamprologus_wauthioni,Lamprologus_meleagris,0.5,4.42250153,4.65562612
5,Lamprologus_speciosus,Lamprologus_meleagris,0.5,4.42250153,4.65562612
6,Lamprologus_callipterus,Neolamprologus_wauthioni,0.5,4.49833974,4.49833974
7,Neolamprologus_brevis,Lamprologus_speciosus,0.5,4.49833974,4.49833974
8,Lamprologus_callipterus,Neolamprologus_fasciatus,0.5,3.11693828,3.11693828
9,Neolamprologus_brevis,Neolamprologus_multifasciatus,0.5,1.82257176,3.30738013
10,Neolamprologus_fasciatus,Neolamprologus_multifasciatus,0.5,1.82257176,3.30738013
11,Neolamprologus_similis,Neolamprologus_multifasciatus,0.5,1.82257176,3.30738013
12,Neolamprologus_multifasciatus,Neolamprologus_multifasciatus,0.5,1.82257176,3.30738013
13,Neolamprologus_caudopunctatus,Neolamprologus_multifasciatus,0.5,1.82257176,3.30738013
14,Lamprologus_lemairii,Neolamprologus_multifasciatus,0.5,1.82257176,3.30738013
15,Neolamprologus_leloupi,Neolamprologus_multifasciatus,0.5,1.82257176,3.30738013
16,Neolamprologus_wauthioni,Neolamprologus_multifasciatus,0.5,1.82257176,3.30738013
17,Lamprologus_speciosus,Neolamprologus_multifasciatus,0.5,1.82257176,3.30738013
18,Lamprologus_ocellatus,Neolamprologus_multifasciatus,0.5,1.82257176,3.30738013
19,Lamprologus_meleagris,Neolamprologus_multifasciatus,0.5,1.82257176,3.30738013
20,Altolamprologus_calvus,Neolamprologus_multifasciatus,0.5,1.82257176,3.30738013
21,Altolamprologus_compressiceps,Neolamprologus_multifasciatus,0.5,1.82257176,3.30738013
22,Lamprologus_callipterus,Neolamprologus_multifasciatus,0.5,1.82257176,3.30738013
23,Neolamprologus_boulengeri,Neolamprologus_multifasciatus,0.5,1.82257176,3.30738013
24,Neolamprologus_hecqui,Neolamprologus_multifasciatus,0.5,1.82257176,3.30738013
25,Neolamprologus_meeli,Neolamprologus_multifasciatus,0.5,1.82257176,3.30738013
26,Lepidiolamprologus_attenuatus,Neolamprologus_multifasciatus,0.5,1.82257176,3.30738013
27,Lepidiolamprologus_profundicola,Neolamprologus_multifasciatus,0.5,1.82257176,3.30738013
28,Lepidiolamprologus_elongatus,Neolamprologus_multifasciatus,0.5,1.82257176,3.30738013
29,Lamprologus_kungweensis,Neolamprologus_multifasciatus,0.5,1.82257176,3.30738013
30,Lamprologus_laparogramma,Neolamprologus_multifasciatus,0.5,1.82257176,3.30738013
31,Lamprologus_signatus,Neolamprologus_multifasciatus,0.5,1.82257176,3.30738013
32,Lamprologus_ornatipinnis,Neolamprologus_multifasciatus,0.5,1.82257176,3.30738013
