"","Model","sigma.sq","mu","bt","vh","SE","AICc","NegLogL","K","sigma.sq.lower","sigma.sq.upper","mu.lower","mu.upper","bt.lower","bt.upper","vh.lower","vh.upper","SE.lower","SE.upper","deltaAICc","AkaikeWeight","type"
"1",1,0.119353731227622,2.16698753290279,1,1.54556644364762e-08,0,55.5129227913051,24.2347222652178,3,0.0696798934478698,0.212178297411284,1.40058299984986,2.93284643395851,1,1,1.54556644364762e-08,1.16614696170449,0,0,8.05964857284388,0.00829184084784311,"Fixed at zero"
"2",2,0.108897484112871,2.18225088338569,0.641922425098587,0,0,53.0216084365149,22.9890650878227,3,0.0675759863795744,0.196814018446508,1.4267355564174,2.91605467451866,0.369082102644725,1.12265581562201,0,0,0,0,5.56833421805372,0.0288159536031778,"Fixed at zero"
"3",3,0.119442163423685,2.16802017647344,1,0,0,52.96942711391,24.234713556955,2,0.0729241065827443,0.217022530877419,1.37253748545631,2.95932788378771,1,1,0,0,0,0,5.5161528954488,0.0295776745812007,"Fixed at zero"
"4",4,0.108984910869563,2.18280724932908,0.640734637818613,1.26068734987965e-08,0,55.796358511486,22.9890883466521,4,0.0705025167640662,0.188903424004763,1.53728828584618,2.83668737699972,0.397835465778732,1.13800544964558,1.26068734987965e-08,0.537659281316103,0,0,8.34308429302484,0.00719620742590624,"Fixed at zero"
"5",1,7.90697960176305e-57,1.94071681623985,1,5.22722243283553e-58,0,49.9967524793308,21.4766371092306,3,7.90697960176305e-57,0.0226651851617227,1.67274443756578,2.23496267652274,1,1,5.22722243283553e-58,0.752945449605325,0,0,2.54347826086956,0.13075915987782,"Predicted from museum"
"6",2,2.41025567565598e-11,2.00881993873022,0.745452239137738,0,0,49.0419320458133,20.9992268924719,3,2.41025567565598e-11,0.0233778627238781,1.7131544697746,2.31711500919301,0.429490258139931,1.2966132991465,0,0,0,0,1.58865782735213,0.210769975156094,"Predicted from museum"
"7",3,7.90697960176305e-57,1.94071681623985,1,0,0,47.4532742184612,21.4766371092306,2,7.90697960176305e-57,0.0235510449280912,1.66813834577182,2.24266471991112,1,1,0,0,0,0,0,0.466424557686973,"Predicted from museum"
"8",4,1.44636652626609e-11,1.98525660918067,0.752962572736843,2.08441102648118e-08,0,51.8473121038356,21.0145651428269,4,1.44636652626609e-11,0.0218444884637891,1.72258871581884,2.30479557326983,0.433463567989404,1.30139938709005,2.08441102648118e-08,0.502758558913387,0,0,4.3940378853744,0.0518356089554873,"Predicted from museum"
"9",1,1.32935341582012e-85,2.15790487627106,1,8.78821793696299e-87,0.562529151557717,55.3739976371936,22.7779079095059,4,1.32935341582012e-85,0.121796833723017,1.767003077663,2.47707469852695,1,1,8.78821793696299e-87,0.740601856898076,0.158477495547064,0.736700163946882,7.92072341873236,0.00888828909267322,"Estimated in analysis"
"10",2,2.22356963163146e-10,2.22237467062206,0.703976743991519,0,0.544986599332632,53.727431473007,21.9546248274126,4,2.22356963163146e-10,0.148095705069888,1.73236984333871,2.61959891823813,0.428832755374942,1.14065166959175,0,0,0.0958203217998682,0.710586455456929,6.27415725454582,0.0202472232375786,"Estimated in analysis"
"11",3,1.32935341582012e-85,2.15790487627106,1,0,0.562529151557717,52.5992940798813,22.7779079095059,3,1.32935341582012e-85,0.153729694895246,1.77126467059043,2.53235429969243,1,1,0,0,0.0544740872580179,0.737241159252264,5.1460198614201,0.0355907707852738,"Estimated in analysis"
"12",4,0.101170321438671,2.17969057486101,0.644037858256403,1.57507566599632e-09,0.116409070395426,58.8000390238529,22.971448083355,5,0.023646792202171,0.169180684944183,1.51017455671753,2.88797232649388,0.392660677693774,1.25064941519963,1.57507566599632e-09,0.654872669676603,0.0616418003776927,0.667219461726074,11.3467648053917,0.00160273874997152,"Estimated in analysis"
