"","V1"
"Nicotiana_undulata",2.07944154167984
"Nicotiana_arentsii",3.40119738166216
"Nicotiana_glutinosa",1.79175946922805
"Nicotiana_wigandioides",2.19722457733622
"Nicotiana_thyrsiflora",1.6094379124341
"Nicotiana_cordifolia",1.38629436111989
"Nicotiana_solanifolia",2.19722457733622
"Nicotiana_rustica",2.56494935746154
"Nicotiana_benavidesii",3.73766961828337
"Nicotiana_raimondii",3.09104245335832
"Nicotiana_paniculata",3.87120101090789
"Nicotiana_knightiana",2.83321334405622
"Nicotiana_repanda",2.19722457733622
"Nicotiana_nesophila",3.52636052461616
"Nicotiana_stocktonii",2.63905732961526
"Nicotiana_sylvestris",3.17805383034795
"Nicotiana_clevelandii",2.89037175789616
"Nicotiana_miersii",0.693147180559945
"Nicotiana_acuminata",0.693147180559945
"Nicotiana_attenuata",1.38629436111989
"Nicotiana_pauciflora",1.94591014905531
"Nicotiana_fragrans",2.30258509299405
"Nicotiana_rotundifolia",3.25809653802148
"Nicotiana_maritima",4.06044301054642
"Nicotiana_excelsior",3.17805383034795
"Nicotiana_benthamiana",2.19722457733622
"Nicotiana_amplexicaulis",2.63905732961526
"Nicotiana_cavicola",2.484906649788
"Nicotiana_debneyi",3.61091791264422
"Nicotiana_suaveolens",2.07944154167984
"Nicotiana_goodspeedii",2.07944154167984
"Nicotiana_rosulata",1.79175946922805
"Nicotiana_exigua",2.70805020110221
"Nicotiana_velutina",2.19722457733622
"Nicotiana_gossei",2.94443897916644
"Nicotiana_occidentalis",3.25809653802148
"Nicotiana_simulans",2.484906649788
"Nicotiana_megalosiphon",4.04305126783455
"Nicotiana_umbratica",3.04452243772342
"Nicotiana_africana",2.70805020110221
"Nicotiana_plumbaginifolia",2.83321334405622
"Nicotiana_longiflora",2.63905732961526
"Nicotiana_forgetiana",3.71357206670431
"Nicotiana_langsdorffii",4.06044301054642
"Nicotiana_bonariensis",3.04452243772342
"Nicotiana_alata",3.68887945411394
"Nicotiana_nudicaulis",2.77258872223978
"Nicotiana_spegazzinii",1.09861228866811
"Nicotiana_noctiflora",0.693147180559945
"Nicotiana_petunioides",2.39789527279837
"Nicotiana_glauca",2.89037175789616
"Nicotiana_setchellii",3.25809653802148
"Nicotiana_kawakamii",1.38629436111989
"Nicotiana_tabacum",3.36729582998647
"Nicotiana_tomentosiformis",1.6094379124341
"Nicotiana_tomentosa",2.77258872223978
"Nicotiana_otophora",3.78418963391826
