Species,relative_seed_growth
Nicotiana_undulata,2.079441542
Nicotiana_arentsii,3.401197382
Nicotiana_glutinosa,1.791759469
Nicotiana_wigandioides,2.197224577
Nicotiana_thyrsiflora,1.609437912
Nicotiana_cordifolia,1.386294361
Nicotiana_solanifolia,2.197224577
Nicotiana_rustica,2.564949357
Nicotiana_benavidesii,3.737669618
Nicotiana_raimondii,3.091042453
Nicotiana_paniculata,3.871201011
Nicotiana_knightiana,2.833213344
Nicotiana_repanda,2.197224577
Nicotiana_nesophila,3.526360525
Nicotiana_stocktonii,2.63905733
Nicotiana_sylvestris,3.17805383
Nicotiana_clevelandii,2.890371758
Nicotiana_miersii,0.693147181
Nicotiana_acuminata,0.693147181
Nicotiana_attenuata,1.386294361
Nicotiana_pauciflora,1.945910149
Nicotiana_fragrans,2.302585093
Nicotiana_rotundifolia,3.258096538
Nicotiana_maritima,4.060443011
Nicotiana_excelsior,3.17805383
Nicotiana_benthamiana,2.197224577
Nicotiana_amplexicaulis,2.63905733
Nicotiana_cavicola,2.48490665
Nicotiana_debneyi,3.610917913
Nicotiana_suaveolens,2.079441542
Nicotiana_goodspeedii,2.079441542
Nicotiana_rosulata,1.791759469
Nicotiana_exigua,2.708050201
Nicotiana_velutina,2.197224577
Nicotiana_gossei,2.944438979
Nicotiana_occidentalis,3.258096538
Nicotiana_simulans,2.48490665
Nicotiana_megalosiphon,4.043051268
Nicotiana_umbratica,3.044522438
Nicotiana_africana,2.708050201
Nicotiana_plumbaginifolia,2.833213344
Nicotiana_longiflora,2.63905733
Nicotiana_forgetiana,3.713572067
Nicotiana_langsdorffii,4.060443011
Nicotiana_bonariensis,3.044522438
Nicotiana_alata,3.688879454
Nicotiana_nudicaulis,2.772588722
Nicotiana_spegazzinii,1.098612289
Nicotiana_noctiflora,0.693147181
Nicotiana_petunioides,2.397895273
Nicotiana_glauca,2.890371758
Nicotiana_setchellii,3.258096538
Nicotiana_kawakamii,1.386294361
Nicotiana_tabacum,3.36729583
Nicotiana_tomentosiformis,1.609437912
Nicotiana_tomentosa,2.772588722
Nicotiana_otophora,3.784189634
