Species,Body_length
Telmatochromis_vittatus,2.151762203
Variabilichromis_moorii,2.332143895
Julidochromis_ornatus,2.140066163
Neolamprologus_brevis,1.704748092
Neolamprologus_fasciatus,2.708050201
Neolamprologus_similis,1.609437912
Neolamprologus_multifasciatus,1.386294361
Neolamprologus_caudopunctatus,1.871802177
Lamprologus_lemairii,3.218875825
Neolamprologus_leloupi,1.808288771
Neolamprologus_wauthioni,1.704748092
Lamprologus_speciosus,1.609437912
Lamprologus_ocellatus,1.757857918
Lamprologus_meleagris,1.945910149
Altolamprologus_calvus,2.602689685
Altolamprologus_compressiceps,2.509599262
Lamprologus_callipterus,2.517696473
Neolamprologus_boulengeri,1.824549292
Neolamprologus_hecqui,2.079441542
Neolamprologus_meeli,1.945910149
Lepidiolamprologus_attenuatus,2.708050201
Lepidiolamprologus_profundicola,3.417726684
Lepidiolamprologus_elongatus,3.481240089
Lamprologus_kungweensis,2.079441542
Lamprologus_laparogramma,1.388791241
Lamprologus_signatus,1.704748092
Lamprologus_ornatipinnis,2.054123734
