donor,recipient,m,donor time,recipient time
L._callipterus,L. meleagris,0.5,2.54,2.59
L. meleagris,L. meleagris,0.5,2.54,2.59
L. ocellatus,L. meleagris,0.5,2.54,2.59
N. wauthioni,L. meleagris,0.5,2.54,2.59
L. speciosus,L. meleagris,0.5,2.54,2.59
L. callipterus,N. wauthioni,0.5,2.54,2.54
N. brevis,L. speciosus,0.5,2.54,2.54
L. callipterus,N. fasciatus,0.5,1.57,1.57
A. calvus,N. multifasciatus,0.5,1.06,1.57
A. compressiceps,N. multifasciatus,0.5,1.06,1.57
L. callipterus,N. multifasciatus,0.5,1.06,1.57
L. meleagris,N. multifasciatus,0.5,1.06,1.57
L. ocellatus,N. multifasciatus,0.5,1.06,1.57
L. speciosus,N. multifasciatus,0.5,1.06,1.57
N. wauthioni,N. multifasciatus,0.5,1.06,1.57
L. attenuatus,N. multifasciatus,0.5,1.06,1.57
N. hecqui,N. multifasciatus,0.5,1.06,1.57
N. meeli,N. multifasciatus,0.5,1.06,1.57
N. boulengeri,N. multifasciatus,0.5,1.06,1.57
L. profundicola,N. multifasciatus,0.5,1.06,1.57
L. elongatus,N. multifasciatus,0.5,1.06,1.57
L. lemairii,N. multifasciatus,0.5,1.06,1.57
N. caudopunctatus,N. multifasciatus,0.5,1.06,1.57
N. leloupi,N. multifasciatus,0.5,1.06,1.57
N. fasciatus,N. multifasciatus,0.5,1.06,1.57
N. multifasciatus,N. multifasciatus,0.5,1.06,1.57
N. similis,N. multifasciatus,0.5,1.06,1.57
N. brevis,N. multifasciatus,0.5,1.06,1.57
L. kungweensis,N. multifasciatus,0.5,1.06,1.57
L. laparogramma,N. multifasciatus,0.5,1.06,1.57
L. signatus,N. multifasciatus,0.5,1.06,1.57
L. ornatipinnis,N. multifasciatus,0.5,1.06,1.57
