Subgenus,Section,Species,NaCl_index,NaCl_75,NaCl_150,NaCl_225,NaCl_300,KCl,Mannitol,PEG
Rustica,Paniculatae,glauca,4,92,51,19,3,21,18,11
,,paniculata,3,87,47,5,2,< 28,48,40
,,knightiana,2,59,7,1,1,< 11,17,15
,,solanifolia,3,93,44,7,2,< 16,9,4
,,benavidesii,4,84,71,17,1,11,42,20
,,cordifolia,2,22,2,0,1,1,4,5
,,raimondii,2,86,18,2,1,2,22,12
,,thyrsifolia,2,21,1,0,0,2,5,11
,Rusticae,rustica,4,115,60,17,5,< 44,13,100
Tabacum,Tomentosae,tomentosa,3,91,35,6,0,< 43,16,86
,,tomentosiformis,2,33,1,0,0,1,5,36
,,otophora,2,69,2,1,0,1,44,4
,,kawakamii,3,59,10,2,1,2,4,33
,,setchellii,1,16,1,1,0,0,26,1
,,glutinosa,3,69,30,1,0,1,6,4
,Genuinae,tabacum BY4,2,91,18,3,1,<26,29,92
Petunioides,Undulatae,undulata,2,78,29,9,0,0,8,2
,,arentsii,3,78,66,10,1,>4,30,80
,,wigandioides,2,64,5,0,0,1,9,4
,Trigonophyllae,trigonophylla,2,67,3,1,0,1,24,4
,Alatae,sylvestris,2,62,5,2,0,< 16,24,13
,,langsdorffii,1,10,1,1,1,7,58,60
,,alata,3,88,46,6,2,< 23,40,79
,,forgetiana,3,70,33,1,0,8,41,68
,,bonariensis,3,88,24,1,1,< 14,21,20
,,longiflora,4,101,52,29,7,> 18,14,55
,,plumbaginifolia,4,101,63,10,2,7,17,6
,Repandae,repanda,3,86,31,1,1,5,9,16
,,stocktonii,3,69,22,0,0,1,14,2
,,nesophila,3,90,49,1,0,3,34,19
,Noctiflorae,noctiflora,1,18,2,6,4,3,2,1
,,petunioides,2,42,1,3,2,3,11,7
,Acuminatae,acuminata,2,122,36,1,1,5,2,18
,,pauciflora,2,109,9,1,0,2,7,3
,,attenuata,2,77,6,0,0,1,4,22
,,miersii,1,31,28,0,0,< 12,2,3
,,spegazzinii,1,8,1,0,0,2,3,19
,Bigelovianae,bigelovii,3,106,26,3,2,1,3,7
,,clevelandii,2,43,7,2,1,2,18,19
,Nudicaulis,nudicaulis,3,70,23,3,0,5,16,14
,Suaveolentes,benthamiana,4,71,29,6,2,3,9,22
,,umbratica,3,106,69,8,1,4,21,48
,,cavicola,3,97,57,10,2,12,12,24
,,debneyi,2,86,13,4,1,< 34,37,57
,,gossei,4,103,60,21,1,> 10,19,57
,,amplexicaulis,4,85,35,19,2,>9,14,9
,,maritima,3,89,57,22,1,33,58,19
,,velutina,3,60,13,4,1,< 14,9,2
,,occidentalis,,20,50,11,2,8,26,40
,,simulans,3,78,61,6,1,9,12,9
,,megalosiphon,3,84,54,21,1,15,57,73
,,rotundifolia,4,90,25,9,2,3,26,12
,,excelsior,4,85,65,15,2,>6,24,47
,,suaveolens,3,63,43,7,0,< 30,8,54
,,ingulba,4,87,48,18,2,> 10,19,54
,,exigua,3,67,15,5,1,8,15,50
,,goodspeedii,3,90,37,8,3,9,8,59
,,rosulata,3,77,53,6,2,< 24,6,60
,,fragrans,2,86,1,0,0,0,10,0
,,africana,4,68,22,12,1,10,15,8
